message,sentiment,interactionRate,pageName,likes,comments,shares,type,createTime
"Happy Little Cloud is our super fresh, crisp, 4.5%, 38 IBU, American Pale Ale or some would say ""Session IPA"" made with gorgeously tropical Mosaic hops. We do NOT use wheat beer yeast in this beer so there is no ""wheat beer"" tastes of banana and clove esters. The wheat merely gives a soft taste and a slight cloudy appearance. We use an American Pale Ale yeast that's only job is to let the hops shine through!",0,0.4561,Simple Roots Brewing,4,0,0,Photo,02/26/2016 16:44:25
"A great day at the mountain is even better when followed by a great beer!

Who's shredding our local VT mountains this weekend?!",0,0.1039,"14th Star Brewing Company, LLC",10,0,1,Photo,02/26/2016 16:30:00
We'll be hosting Whole Planet Foundation's Brews for a Cause at our next open house! Proceeds go towards helping end poverty world-wide! We hope to see you 5-8pm on 3/4!,0,0.0651,Thomas Hooker Brewery,6,0,0,Photo,02/26/2016 16:15:01
Great turnout today!  Thank you for supporting local craft beer! @theandyday #drinklocal,1,0.7665,Kelsen Brewing Company,21,3,2,Photo,02/26/2016 16:14:49
Today we filled our Spanish Rose Granite fermenter with a very special blend.,1,1.3832,OEC Brewing,55,4,2,Photo,02/26/2016 16:13:16
"It's BOCK!
Releasing Today!!

Stop by to pick up a bottle of our Bourbon Barrel- Aged Bock!

Cheers!",1,0.649,DuVig Brewing Company,8,3,2,Photo,02/26/2016 16:09:21
Sneak peak of our brand new #oak #porter available starting tomorrow. #itssogood,1,1.775,Whaler's Brewing Company,63,2,6,Photo,02/26/2016 16:02:20
"A single run of a Hoppy Pale Ale is available at the brewery starting today! I'll be here until 7, along with American Stout, Coffee-Oatmeal Stout, and Smoked Porter.",0,0.4425,Out.Haus Ales,3,0,1,Status,02/26/2016 16:00:18
We're hitting the road to refreshment this weekend! First stop...Curious Traveler. http://bit.ly/findtrvlr,0,0.0541,Traveler Beer Company,24,4,2,Photo,02/26/2016 16:00:00
"Swing by tomorrow evening for some quality brews and old time blues performed by Worcester native, Matt Robert! 6-9pm, be here!",1,0.604,3cross Brewing Co.,12,0,2,Photo,02/26/2016 15:56:54
"4-7pm here are the offerings: 
Flagship Cream Ale
Flying Jenny Extra Pale Ale
Leaning Chimney Smoked Porter
Mary Ann's Ginger Spice
Chalkboard Series: Black Mast Stout 
Dark Star w/ Cherries (32oz fill only) $16
Pour Judgement IPA
Great Ketch IPL
Captain's Daughter DIPA
Today's Firkin- Black Mast
#drinklocal #supportlocal #craftbeer",0,0.3333,Grey Sail Brewing of Rhode Island,13,5,1,Photo,02/26/2016 15:53:50
10 minutes to the release of Vinátta!  Thank you to our die hard fans! #beerrelease #RIS #craftbeer #drinklocal,1,5.8078,Kelsen Brewing Company,157,27,13,Photo,02/26/2016 15:52:38
"You bar line up tonight, Chuck ""The Aging Lothario"" Barbato and Teagan ""The Other Disney Princess"" Phinney! As usual high fives for the dudes and smooches for the ladies available free of charge!",0,0.0747,Cape Ann Brewing,8,0,0,Photo,02/26/2016 15:36:45
This is how you stand up a 120 BBL Fermenter ..... And breathe!,0,0.2669,Stony Creek Beer,21,0,0,Video,02/26/2016 15:30:38
,0,0.1647,Stone Corral Brewery,2,0,0,Event,02/26/2016 15:26:02
"There should be enough of the extremely juicy and delicious Double dry hopped Tropicale to last the weekend,  plenty of other fine dark beers too if u stop in, Fri 4 to 7pm, Saturday 12 to 4 pm",1,1.5195,Relic Brewing Co,93,5,2,Photo,02/26/2016 15:24:31
Vintage II going in 👍,1,2.4541,Foley Brothers Brewing,92,7,0,Photo,02/26/2016 15:22:05
"BHB tastings this weekend:
FRI - Lank's Wine and Liquor Hyde Park 5-7pm
FRI - Barry's Fine Wine & Spirits New Bedford 6-8pm
SAT - Volante Farms Needham Craft Beer Event 1-4pm
SAT - Morrissey Boulevard Wines and Liquors Dorchester 4-6pm",0,0.0457,Blue Hills Brewery,2,0,0,Status,02/26/2016 15:16:54
"So this happened last night. Yes, we did leave some of this medieval ale for you.",0,0.4807,Earth Eagle Brewings,22,0,2,Video,02/26/2016 15:00:39
We have liftoff! A super fresh batch of Space Juice is now available at the brewery and will be landing in select markets soon!,1,0.5802,Long Trail Brewing,325,90,26,Photo,02/26/2016 15:00:01
By a show of likes (or whatever crazy new Facebook emoji you're feeling) who could go for a Backseat Berner right about now?,1,0.8289,Otter Creek Brewing,317,71,13,Photo,02/26/2016 15:00:00
It's baaaaaaaack!  #BigSqueeze,0,0.0836,Harpoon Brewery,80,8,7,Video,02/26/2016 14:52:33
Cask Friday: Be Troppy. Be Hoppy with pineapple. Nice and refreshing!,1,0.5722,Wormtown Brewery,59,1,2,Photo,02/26/2016 14:51:45
,0,0.0127,Stony Creek Beer,1,0,0,Photo,02/26/2016 14:51:31
I'm in taproom this eve giving sneak peek with Blonde - come on by - M,0,0.2779,Beara Irish Brewing Co.,5,0,0,Photo,02/26/2016 14:49:34
"Out & about in the valley ...

Visit the BLDG8 store tonight 
Open from 3 until 7

Beer to go ...",0,0.1847,Building 8 Brewing / BLDG8 Brewing,3,0,1,Photo,02/26/2016 14:37:40
"Its a Four Quarters yard sale! Used barrels $75/ea, mix of Saxtons River maple liqueur & maple bourbon. Previously held Darkest Heart. Cash only at the brewery!",1,0.6447,Four Quarters Brewing,17,7,6,Photo,02/26/2016 14:30:29
All six brews are tapped up and tasting great. Stop into the @thefamilydogme tonight and #begneiss,0,0.4949,Gneiss Brewing Company,13,1,1,Photo,02/26/2016 14:29:37
"Asteringmay in Igpay Atinlay, Eway Avehay Isthay on Aptay Orfay Rowlersgay.
HEY! WHAT ARE YOU DOING HERE?
Sorry. Our employee with the Pig Latin Major has been terminated.

TAP LIST
- Supernaut IPA
- Fuzzy Baby Ducks IPA
- Galaxy Pale Ale
- 668 Belgian styled Ale
- Sea Hag IPA

Orrysay orfay the...HEY! DIDN'T WE FIRE YOU?!? 
GET OUTTA HERE!",0,0.3783,New England Brewing Co.,56,16,1,Status,02/26/2016 14:26:39
"Head brewer @stephenandrews_ tasting the tart cherry before adding to our Berliner Weisse. This beer is being released at our #breadsandbrews event on March 9,  brewery only cans on March 11,  and kegs for distribution in March 14. #ctbeer #supportyourlocalbrewery",0,0.1194,Back East Brewing Company,11,0,1,Photo,02/26/2016 14:26:36
"Good news for our Eastham peeps! Sandpipers Sports Pub #NowPouring Cape Cod Blonde, Red, Porter & IPA in cans. #EatLocal #DrinkLocal",0,0.0586,Cape Cod Beer,7,0,1,Photo,02/26/2016 14:18:38
Bourbon Barrel Black tapped and pouring! Our Stone Corral Black Beer aged in Mad River Distillers oak bourbon barrel.,1,1.8122,Stone Corral Brewery,17,3,2,Photo,02/26/2016 14:09:23
"More Gneiss bottles ready to roll this weekend. Along with special draught of #Barrelaged Weiss, coffee delta, and Rocktoberfest! #begneiss #theweekendishere",1,1.3197,Gneiss Brewing Company,27,9,4,Photo,02/26/2016 14:08:13
"Pouring at 5:

The Fist - IIPA
Naughty Eskimo - IPA
Nummy Nummy - IIPA
Panzerfaust - Weizenbock
Conqueror - Imperial Brown
Happy Treez - IPA (experimentally new)",1,1.1719,Stubborn Beauty Brewing,35,7,0,Status,02/26/2016 13:59:25
"Confucius say... A full growler is a happy growler. You've taken this sentiment to heart, cause you've snatched up all of our crowlers & growlers. :( We want your weekend to include much 4QB, so bring your clean growlers & we will gladly fill them - all weekend. Cheers! #drinkwinooskibeer",0,0.1719,Four Quarters Brewing,7,0,1,Photo,02/26/2016 13:52:05
"2016 St. Patrick's Day shirts are in. 
(Male model sold separately)",1,6.4869,Iron Duke Brewing,231,18,6,Photo,02/26/2016 13:42:56
"Whose ready to do this Friday thing again? We got great music from The Coalboilers. Two great homebrews, one by Mug Clubber Dr. Dave! One handsome bartender, a super lovely fill in bartender and so many laughs, beer will come out of your nose!",0,0.0654,Cape Ann Brewing,5,1,1,Photo,02/26/2016 13:42:50
"Buy a gift card to Blaze in Bangor and Bar Harbor here!  Or don't if you're bringing a homebrew to tomorrow's competition because you could WIN one!!! Or one from Central Street Farmhouse!

For those not competing we'll have Real on draught and snacks as usual for the last Lazy Saturday!",0,0.0422,Atlantic Brewing Company,2,0,0,Link,02/26/2016 13:42:11
,0,0.2094,The Prodigal Brewery,2,0,0,Link,02/26/2016 13:28:23
,0,0,The Prodigal Brewery,0,0,0,Link,02/26/2016 13:27:58
,0,0,The Prodigal Brewery,0,0,0,Link,02/26/2016 13:27:53
"Next up in our Wildlife On Tap Series: ""Guns, Germs & Cell Phones: The Threats to Gorilla Populations"" http://ow.ly/YCn2Z",0,0,Cape Cod Beer,0,0,0,Link,02/26/2016 13:25:33
Happy Friday! Perfect day to brew some  #Daikaiju #whirlpool #vortex #TGIF #mainebeer #craftbeer #frombiddefordwithlove,0,0.3257,Banded Horn Brewing Co.,18,4,0,Video,02/26/2016 13:19:51
Enjoying a super fresh batch of Tuckin' Good IPA and the Whole Tuckin' Farm!,1,1.6938,Rockingham Brewing Company,19,6,0,Photo,02/26/2016 13:14:52
"Happy Friday everyone! Join us tonight for two great events and get your weekend started off right!

Drink the East at Thirsty Moose Taphouse - Manchester 7-9pm
-They will have our new dry-hopped Pale Ale, Miles & Miles on tap and we will be giving away two tickets to Ragged Mountain Resort!

Beer Tasting at Waynes Market and Deli in North Woodstock, NH 430-630pm
-All beers available including The Roast and Company!",0,0.0798,Henniker Brewing Company,3,0,0,Photo,02/26/2016 13:05:21
,1,1.5487,Out.Haus Ales,9,0,5,Link,02/26/2016 13:02:31
"New oak taphandles! Handmade by local artisan Andy Mueller, old barrels find new life in our Taproom. Look for taller versions at our local restaurant partners.",0,0.4552,Night Shift Brewing,62,7,0,Photo,02/26/2016 13:01:49
"Salsa Sisters will be joining us tonight 2/26 4-7pm to pass out free samples of salsa. They even made BEER Salsa!! Come try some and grab a jar to take home and enjoy with some chips and brew. We're filling growlers, dishin' out samples, having a great time. Join us Fridays 4-7pm, Saturdays 12-6pm. www.leftysbrew.com",0,0.1077,Lefty's Brewing Company,4,0,1,Status,02/26/2016 13:00:06
"All hail the Queen! Try our new raspberry IPA for the first time here at the brewery tonight. We also have a cask of Backyahd IPA with Fruity Pebbles, Mosaic, and Citra.",1,1.0323,Foolproof Brewing Company,46,9,5,Photo,02/26/2016 12:58:31
"Lazer 99.3 was in the house at Broad Brook Brewing last night! We had a great time, thank you to all that came in and had a beer with us last night!!",0,0.3669,Broad Brook Brewing,17,0,0,Photo,02/26/2016 12:58:15
Thanks to Jay Medeiros at I Heart Media for sharing this with us. Gave us all a good laugh today!,1,0.6003,Cape Cod Beer,73,3,6,Link,02/26/2016 12:52:39
We agree..although we hope its being poured better than the beer in the photograph. #beerabuse,0,0.0286,Drop In Brewing Company,0,1,0,Photo,02/26/2016 12:45:21
Two new can designs released so far! More to come soon... #sourbeer #soursincans #greenstsipa #sillyfriar,1,0.9246,Hermit Thrush Brewery,17,2,0,Photo,02/26/2016 12:33:52
"Don't miss out on your chance to perform!

We've got another 14th Star Lip Sync Battle hosted by Top Hat Entertainment going down in our taproom TONIGHT from 6:30-9:30!

https://www.youtube.com/watch?v=4LvMeYEwWGQ",0,0.0283,"14th Star Brewing Company, LLC",1,0,2,Video,02/26/2016 12:25:43
Looking for Highland Fling?  Go get some!!,0,0.0523,Olde Burnside Brewing,2,0,0,Photo,02/26/2016 12:19:02
,1,0.6242,Powder Hollow Brewery,15,9,13,Photo,02/26/2016 12:18:13
Friday 2/26 Spuds Your Way joins us with their gigantic potatoes and more! #getlit #ctbeertrail #itsamealinapeel,0,0.1376,Firefly Hollow Brewing,11,1,1,Photo,02/26/2016 12:05:31
"Belma is in the spotlight today! This version of Think Tank is brewed and dry hopped exclusively with Belma hops.  A very clean hop, with orange and slight grapefruit, tropical pineapple, strawberry, and melon in the aroma and flavor.  Also on tap today, Anomalous, Handlebar, Proserpine, Think Tank brewed and dry hopped with Amarillo, and Unstoppable IPA.  Tasters and crawlers to go!  #nhbeer #gcbeerworks",1,0.6232,Garrison City Beerworks,15,0,0,Photo,02/26/2016 12:01:57
Sign up for Fridays at 6 starts now! Click the link below to sign up!,0,0.0481,Newport Storm Beer,7,0,0,Link,02/26/2016 12:00:04
"Still some tickets left, come git'chers!
Stellar cheeses, your expert guide Ruth Miller, and that beer from the Bunka!",0,0.1402,Earth Eagle Brewings,4,3,0,Photo,02/26/2016 11:45:03
Awwwwwww yea!!!!,0,0.3155,Medusa Brewing Company,15,4,0,Photo,02/26/2016 11:39:34
"Today we produced our 4000th brew! That is 2.5 million gallons of beer and love we have delivered to you since brew #1 back in 1998!
A huge shout out to you for being the best beer fans in the world! 
Cheers to the next 4000!!
🍻",1,2.7888,Tuckerman Brewing Company,206,8,18,Photo,02/26/2016 11:38:41
"The time has come again for Banded Horn and Owl & Whale to delight and confound the senses with our newest collaboration NORDRI.

Come give this mystical (and very limited) draught a try at Rhum Food + Grog this Sunday!",0,0.0592,Banded Horn Brewing Co.,4,0,0,Event,02/26/2016 11:37:49
,0,0.1515,Wachusett Brewing Company,25,3,0,Photo,02/26/2016 11:36:36
"Open from 5 to 9pm with Whisker'd Wit, Midnight Oil, 8 Days A Week, Riff, and Hobbit Juice.",0,0.0607,The Beer'd Brewing Co.,5,0,0,Photo,02/26/2016 11:27:06
"Your welcome. Come show your thanks by getting some local, fresh, tasty beer. Open 1-730pm today.",0,0.2129,The Bucket Brewery,7,1,0,Photo,02/26/2016 11:24:27
"In spite of some flooding, the tasting room opens at 4! East Street to Fort Hill Road for cars... Old Springfield Road if you're planning on coming by boat :-/

*Eddie Riel plays today 5-7, the Tommy Filiaut Trio is going to rock tomorrow 3-6",1,0.7198,Fort Hill Brewery,24,1,4,Photo,02/26/2016 11:13:01
"Announcing our next dinner event: ESCAPE, hosted by the Fitzwilliam Inn on March 24th.

Tickets are $55/ea, and can be purchased by contacting the inn at (603) 585-9000. A maximum of 70 tickets will be sold (remember, we sold 100 for our last dinner event). If you would like to make an ""escape"" out of it, they are offering a package of 2 dinner tickets and a room for the night at $200.

Looking forward to seeing you all there. Cheers.",1,1.002,Able Ebenezer Brewing Company,63,2,12,Photo,02/26/2016 11:07:23
"Open 1-9pm w/ live music from Yvette & Rizing Tide at 6:30! 

Taplist",0,0.1396,SoMe Brewing Company,5,1,0,Photo,02/26/2016 11:03:56
Come on out March 4th get your tickets today! Truly unique dinner from Max Catering & Events at the brewery!,0,0,Black Hog Brewing Co.,0,0,0,Event,02/26/2016 11:02:16
"Last day for fills tomorrow (Saturday) before the move.  We will be open at noon for growler fills and should be open most of the day.   Come stock up.  The new place is finally ready for us to get in and build it out.  Can't wait. 

Hoppy Patriot, Orange Pale Ale, First & Blonde, Brown, Snow Day and Pumpkin (fumes).",1,4.172,Old Colony Brewing,76,10,11,Status,02/26/2016 11:01:38
,0,0.3783,Element Brewing Company,7,1,0,Event,02/26/2016 10:52:16
"Come hang out with us this Saturday. We have lots of tasty beer. We even have a limited amount of Zymatore Caos bottles left from last week (and much more). Open Saturday, 12-7 p.m.

http://oecbrewing.com/tasting_room/",0,0.2041,OEC Brewing,9,0,0,Link,02/26/2016 10:51:13
,1,0.539,Black Hog Brewing Co.,30,3,0,Event,02/26/2016 10:23:07
What's for dinner this weekend? How about these Braised Pork Rillettes?,0,0.0893,Allagash Brewing Company,86,6,5,Link,02/26/2016 10:16:39
"Magic Hat Mardi Gras is just 8 days away! Join us for a weekend of revelry in support of the Vermont Foodbank, March 4-6, starting with the amazing kickoff show at Higher Ground featuring Rubblebucket with Steady Betty. 

Saturday's festivities begin at our brewery at 10am with Kegs & Eggs (courtesy of Kountry Kart Deli!), and continue at Noon in downtown Burlington. Street performers, live music, a King & Queen Costume Contest at 1pm, music from The Green Mountain Playboys at 1:30, a Fun Run at 2:15, the Grand Parade at 3 and some dirty rock n roll from Waylon Speed! at City Hall Park immediately after the Parade! 

There's so much more happening, so check out our Mardi Gras site and get planning! 

www.magichat.net/mardigras",0,0.005,Magic Hat Brewing Company,9,0,4,Link,02/26/2016 10:10:32
"Morning all, 
Just a reminder that we will be open from 3-7pm today.  

We'll end on our taplist notes, but first, another quick reminder.  We've got 15 days to go, but if you find yourself attending Hunahpu’s Day® 2016 in Tampa, stop by and say hi!  Looks like we will be representing NH as the only NH brewery for the event!  We've got our booth assigned (A09) and our beers registered!

Like tart things? Brand new this week is Auroral batch 2. This time with mango and lychee fruit. We also have our raspberry/passionfruit berliner Lambent, and our table and dryhopped gose variants. Aggregation and Cumulation.

Like crisp hoppy offerings? We've got Arose APA, Agricultural wheat IPA, and Phenotype American IPA.

Like hazier, softer hoppy offerings? We've got Genotype APA and our Pilot Double IPA for you.

Like farmhouse ales? We've got our bottle conditioned dryhopped brett grisette, Sepal.

Like darker, higher ABV brews? We've got three very distinct porters for you. Two Dormancy variant",1,0.5099,Deciduous Brewing Company,16,0,2,Photo,02/26/2016 09:59:51
"Fresh Stalk, Galaxy, mosaic and Broze on tonight.  Have a few cases of stalk and mosaic.  Rest on tap",1,0.7116,Proclamation Ale Company,21,2,0,Status,02/26/2016 09:59:42
Check out Chef Chuck's specials. Should go well with the cask of Bourbon Barrel Black Beer we're tapping today.,1,0.9885,Stone Corral Brewery,8,1,3,Photo,02/26/2016 09:58:30
Miguel Rivas Troconis aka The Beer Trekker came for a visit on a brewday last week.  Check it and check his page out.  He visits some cool digs.,1,0.7735,Proclamation Ale Company,25,0,0,Photo,02/26/2016 09:50:09
"The mud is gone and we'll be open this Saturday (2/27) from 1-4. Chosen One, Second Harvest, Libby, and Winter Sol on tap. Most likely will be limits on Chosen One and Second Harvest. See you at the Barn!",1,0.7862,Tilted Barn Brewery,27,2,1,Status,02/26/2016 09:06:54
,0,0.0293,Aeronaut Brewing Company,3,0,0,Event,02/26/2016 09:03:26
Join us for a tap takeover TONIGHT Cheers Boston,0,0,Wachusett Brewing Company,0,0,0,Event,02/26/2016 08:58:38
Check out our events!  There is so much going on this weekend...,0,0.0433,Wachusett Brewing Company,8,0,0,Status,02/26/2016 08:58:02
"Serious party time in #Worcester tonight at @thedivebar !! Bring your dancing shoes and drinking hats, we sent a serious lineup of beer and DJ Strader crushes the jams, it's gonna be on in the woo tonight!!",0,0.0866,Oxbow Brewing Company,6,0,2,Photo,02/26/2016 08:53:27
"Aeronaut Labs is under construction. Better beer through science!

Read our blog post: https://aeronautbrewing.wordpress.com/2016/02/17/aeronaut-lets-its-beaker-flag-fly/",0,0.0587,Aeronaut Brewing Company,6,0,0,Photo,02/26/2016 08:53:06
"We've got the lineup for your week wind down... Open from 12-9. #drinkwinooskibeer #4bbc #drinklocal #802

COFFEE BEAR – Great Bear conditioned on VT roasted whole coffee beans. 

GREAT BEAR – Lightly smoked, chocolate, oatmeal brown ale. 

HORN OF THE MOON – Belgian-style witbier with sweet & bitter orange peel. 

LOVE & LUST – Smoked Oyster beer made in collaboration w @henofthewood. 

OPUS DEI – “The work of God” Belgian-style Patersbier. 

OPUS FERUM – “The work of the wild” Patersbier fermented w Brettanomyces.  

OPUS HUMULUS – “The work of hops” Hoppy Patersbier.",0,0.043,Four Quarters Brewing,1,0,1,Photo,02/26/2016 08:47:08
"In a world full of IPA's, you can't say you've tried them all until you try our New Zealand-style IPA made with five different hops from guess where?🤔 See you tonight from 5-8pm. Also on tap will be our Russian Imperial Stout & Hawaiian Robust Porter!",1,0.6195,Crooked Current Brewery,11,1,0,Status,02/26/2016 07:43:19
Again ahead of the curve with our Banshee Brown. Come by The Burnside at East Hartford Golf Club tomorrow for some pints and flights!!  See you there.,0,0.2092,Olde Burnside Brewing,6,0,2,Link,02/26/2016 07:42:39
Thanks for Rocking the Taproom! Cheers Wyld Lyfe!,0,0.1095,Black Bear Brewing Co.,2,0,0,Link,02/26/2016 07:29:51
"A shout out to everyone who attended our sold out beer dinner at Pain D'Avignon last night. And tremendous thanks to all of the staff who put on a classy, elegant and delicious dinner with impeccable service. It was an amazing night of great food paired with great beers shared with great people.",1,0.9851,Devil's Purse Brewing Company,84,0,1,Photo,02/26/2016 07:08:26
,1,0.659,Stone Corral Brewery,8,0,0,Event,02/26/2016 06:57:16
SATURDAY,1,0.5061,Cottrell Brewing Company,13,1,0,Event,02/26/2016 06:42:30
I'd like to thank the Lakeville Lions Club for having Lisa and I as their guest speakers this month.  It was great seeing so many familiar faces from the community.  We had a great time!,1,1.815,Goodfellow's Brewing Company,41,0,0,Photo,02/26/2016 06:33:33
'Tis true!,1,5.4319,Cape Cod Beer,720,22,0,Photo,02/26/2016 06:29:46
,0,0.4861,DL Geary Brewing,10,0,0,Photo,02/25/2016 23:59:18
A little down time at the brewery this afternoon.,1,1.0788,Devil's Purse Brewing Company,89,2,1,Photo,02/25/2016 23:43:45
"Come in an see us Friday 4-7 & Saturday 2-7.

On Tap: Really Pale Ale, *Lush Double IPA, Winter Ale, Heavy Imperial Stout for Tasters and Growler Fills. *Sorry no Growler Fills of Lush.

22oz Bottles: Really Pale Ale, The Other IPA, Lush Double IPA, Winter Ale & Heavy Imperial Stout

Come in an see us Friday 4-7 & Saturday 2-7. Cheers!

Bottles of Lush delivered today to:
Lantman's Market
Jolleys Hinesburg
116 Wine & Spirits
Jolley So. Burlington 
Jolleys So. Burlington
The Mill
Growler Garage
City Market
Pearl St Beverage
Beverage Warehouse
Natural Provisions
Vermont Meat & Seafood Market
Korner Kwik Stop
Richmond Mobil Market
Richmond Market & Beverage
Crossroads Bev & Deli
Craft Beer Cellar
Village Market of Waterbury
Hunger Mountain Coop
Beverage Baron 
Stowe Mercantile
Waitsfield Village Grocery
Warren Store",1,1.5833,Frost Beer Works,19,4,2,Status,02/25/2016 23:39:32
Not sure how we missed it! Happy clam chowder day!  Washed down perfectly with a Red in a Squire pint!  #winning,1,0.5497,Cape Cod Beer,72,3,0,Photo,02/25/2016 22:42:52
Get your tickets for this amazing and unique event! Check the Event Brite link in the event page!,0,0,Black Hog Brewing Co.,0,0,0,Event,02/25/2016 22:22:12
,0,0.0654,Black Hog Brewing Co.,4,0,0,Event,02/25/2016 22:12:44
George Woods live now! Come on down for some great music! #nhbeer,0,0.1573,7th Settlement Brewery,9,0,0,Photo,02/25/2016 20:34:00
"Pssst... Super mega limited bottle release happening... This Saturday. 100 bottles- $15 per bottle. 2 per person. Christollen... our Belgian Patersbier, Opus Dei, aged in Mad River Maple Rum Barrels, conditioned on black & red currants, golden raisins, & orange/lemon zests. A winter dream.",1,0.9257,Four Quarters Brewing,31,10,2,Photo,02/25/2016 19:05:54
"These young men are very talented.  (warning, shredding)",1,0.6751,New City Brewery,12,2,1,Video,02/25/2016 19:04:01
,0,0.0972,DL Geary Brewing,2,0,0,Photo,02/25/2016 18:52:33
https://instagram.com/p/BCOl_FPOX0c/,1,1.264,DL Geary Brewing,20,6,0,Link,02/25/2016 18:49:15
Stoneface meets Stone Brewing at Row 34 Portsmouth. Get here. #pbw2016 #livefreedrinkcraft #nhbeer,0,0.2722,Stoneface Brewing Co.,15,1,0,Photo,02/25/2016 18:46:22
"There are a few spots left for our aperitivo-style tasting at Red Bird in Waltham on Monday night. We’ll be pairing some of our favorite offerings with inventive house-made chocolates and funky cheeses selected by Wasik's Cheese Shop in Wellesley. Event runs 7-11p, $35/person!",0,0.0396,Night Shift Brewing,5,1,0,Photo,02/25/2016 18:30:00
,0,0.4906,White Birch Brewing,16,2,4,Link,02/25/2016 18:23:08
Releasing a fresh LUX batch right off the line tomorrow at 12 with the day's Substance cans. Mami Food Truck out here representing great food and drink with us. 5 beers on tap. Van Halen before the doors open extremely likely. #bissellbrothers,1,0.5999,Bissell Brothers,75,4,3,Photo,02/25/2016 18:22:42
"One tank in. 7 more to go!  JVNW, Inc. And G&D Chillers, Inc. Working together to kick some butt for craft beer!",0,0.2544,Stony Creek Beer,18,1,1,Photo,02/25/2016 18:03:50
"Saturday at noon! 100 bottles, 500 mL, $15, 2 bottle limit.",0,0.1507,Four Quarters Brewing,5,2,0,Event,02/25/2016 18:01:32
"Tickets go on sale March 15th online or at Lefty's Brewing Company during store hours (Fridays 4-7pm, Saturdays 12-6pm). VIP Packages will also be available, limited, and will sell out! Who's joining us for another epic year of great music, free games, tasty food, and tons of fun at Lefty's Spring Fever Fest?! 
Interested in being a vendor? Email fest@leftysbrew.com. Space is filling quickly, contact us today!
www.leftysbrew.com",1,1.7665,Lefty's Brewing Company,78,4,0,Event,02/25/2016 18:00:06
,0,0.495,Stone Corral Brewery,6,0,0,Event,02/25/2016 17:56:16
"#BadOmen is out of the #barrel! After 6mos in Oak, this beer has matured into something truly beautiful. Check it out on draft 3.5.16. #MABeer #HudsonMA #anniversary #barrelaged",1,0.7997,Medusa Brewing Company,39,4,5,Photo,02/25/2016 17:55:42
,1,0.8251,Stone Corral Brewery,10,0,0,Event,02/25/2016 17:54:19
"Join us Friday night as we welcome back Muddy Marsh Ramblers at Bigelow Brewing in Skowhegan! Erik and his crew have been working overtime to bring massive quantities of delicious wood fired pizza, Jeff has replenished all the brews and this Friday will be introducing Rowe Road Maple Porter! It's going to be a good night!",1,1.9428,Bigelow Brewing Company,36,9,8,Photo,02/25/2016 17:53:57
How many times have you ever wished that someone would just deliver you some sauce? Dreams do come true friends. And our livers have Buttery to thank for it.,0,0.238,Lord Hobo Brewing Co,14,1,0,Link,02/25/2016 17:50:02
Check out Topside Inn on your next trip to Maine.  And while you're there...come see us!,1,0.878,Monhegan Brewing Company,19,0,0,Link,02/25/2016 17:41:40
"We have two jam sessions going on this weekend! Saturday, 4-6 pm is Blues & Brews with Eric Fernald and friends; and Sunday, 2-4 pm is Irish music, a Tributary Ceilidh with Ramona Connelly & friends.
Great beer on tap and in growlers: Double Witt, Pale Ale, Winter Saison and Milk Stout. The Mocha Milk Stout is likely to be come on again too!",0,0.1949,Tributary Brewing Company,9,4,1,Photo,02/25/2016 17:36:05
"This weekend at @Overshores Blanc de Blanche is BACK! 

Also a Belgian Aromatic experimental and our current seasonal Petite Noire.

Th-Fri 4-8, Sat-Sun 1-5",1,3.7609,Overshores Brewing Co.,129,0,5,Photo,02/25/2016 17:35:33
Bucket Brewery at Aurora in Providence,0,0.213,The Bucket Brewery,8,0,0,Photo,02/25/2016 17:25:02
Join us for a tasting at Barb's Beer Emporium in Concord- right now!!,0,0.4079,Rockingham Brewing Company,6,0,0,Photo,02/25/2016 17:23:45
,1,9.5294,1st Republic Brewing Co,81,0,0,Photo,02/25/2016 17:23:41
"Home Brew Supply store opening next week, tap room & brewery shortly. Thanks for the support everyone.",1,2.3529,1st Republic Brewing Co,16,4,0,Link,02/25/2016 17:20:00
"Need a growler fill? Want some free samples? Check out our Randall Station, featuring 2 new randalled brews weekly!  Here's our beer list for this Friday 4-7pm, Saturday 12-6pm. Limited release brews, seasonals, & more! TAP LIST:
Mystery box IPA #1 - also randalled with pineapple & strawberries
Chocolate Oatmeal Stout, also randalled with Bourbon Barrel Chips! (chips made from actual bourbon barrels!)
Mystery box IPA #3
Beans brew aged on coffee beans & bourbon soaked oak chips
Graham Cracker Porter
Doc's Double Whammy IPA
Maple Ale
Archie's Imperial Porter
www.leftysbrew.com for hours, directions, event info, & more!",1,0.9479,Lefty's Brewing Company,38,5,1,Link,02/25/2016 17:17:27
"“Barrel aging beer is always a unique and exciting venture for us.” says Brewmaster Derek Luke, “The tartness to the brew led us to believe there’s a slightly wild ferment going on, something we didn’t expect, but love because of the flavor it gives to the beer!”
Find Smoke RIng near you! 

1776 Liquors Ltd., Allens Wine And Spirits, Bottles - Fine Wine & Craft Beer, Providence RI, Campus Fine Wines, Delta Wine and More, Grapes and Grains, Knights Liquors, Madeira Liquors, #NETCNewportNavyBase, Patriot Wine & Spirits, People's Liquor Warehouse RI, Pop's Liquors, Sandy's Liquors, Town Line Fine Wine and Spirits, Tri-Town Wine & Spirits, Washington Hill Liquors, Wines & More",0,0,Newport Storm Beer,0,0,0,Status,02/25/2016 17:15:00
